City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kyaikkami,16.08,97.5675,28.61,63,5,0.72,MM,1702011258
1,smithers,54.7804,-127.1743,-4.82,86,100,2.06,CA,1702011258
2,port-aux-francais,-49.35,70.2167,4.16,85,94,15.22,TF,1702011258
3,port elizabeth,-33.918,25.5701,19.5,88,40,9.26,ZA,1702011258
4,margaret river,-33.95,115.0667,19.53,51,19,7.75,AU,1702011259
5,iqaluit,63.7506,-68.5145,-15.15,84,0,2.57,CA,1702011259
6,khanty-mansiysk,61.0042,69.0019,-34.94,61,0,3.0,RU,1702011259
7,palmer,42.1584,-72.3287,-0.51,80,100,0.0,US,1702011259
8,bhanvad,21.9264,69.7736,24.69,36,0,3.67,IN,1702011259
9,adamstown,-25.066,-130.1015,22.79,82,90,3.43,PN,1702011259
10,georgetown,5.4112,100.3354,31.96,66,20,3.6,MY,1702011084
11,hinatuan,8.3722,126.3342,29.15,72,58,2.21,PH,1702011260
12,whitehorse,60.7161,-135.0538,-5.57,86,75,4.12,CA,1702011260
13,constantia,44.1833,28.65,-0.62,85,100,7.58,RO,1702011260
14,hasaki,35.7333,140.8333,17.22,31,0,1.29,JP,1702011260
15,road town,18.4167,-64.6167,27.05,73,0,6.21,VG,1702011260
16,essaouira,31.5125,-9.77,15.72,82,46,2.06,MA,1702011261
17,bethel,41.3712,-73.414,0.52,85,0,0.0,US,1702011261
18,papatowai,-46.5619,169.4708,16.98,58,100,3.97,NZ,1702011261
19,ghadamis,30.1337,9.5007,10.75,78,22,2.77,LY,1702011261
20,invercargill,-46.4,168.35,17.61,55,100,4.23,NZ,1702011261
21,kingston,17.997,-76.7936,27.53,85,20,2.57,JM,1702011262
22,quesnel,52.9999,-122.5029,-2.72,93,100,0.0,CA,1702011011
23,hermanus,-34.4187,19.2345,18.95,81,15,2.85,ZA,1702011262
24,college,64.8569,-147.8028,-18.08,77,75,2.57,US,1702011262
25,waitangi,-43.9535,-176.5597,14.34,69,70,1.34,NZ,1702011262
26,toamasina,-18.1667,49.3833,25.0,83,40,3.6,MG,1702011262
27,cabo san lucas,22.8909,-109.9124,24.73,66,0,0.45,MX,1702010993
28,grytviken,-54.2811,-36.5092,-1.36,87,54,4.78,GS,1702011263
29,stanley,54.868,-1.6985,5.16,92,100,2.38,GB,1702011263
30,yeraliyev,43.2,51.65,2.12,61,50,5.76,KZ,1702011263
31,myrina,39.8797,25.0742,9.58,87,75,9.26,GR,1702011263
32,jalna,19.8333,75.8833,23.73,61,1,1.9,IN,1702011263
33,ilulissat,69.2167,-51.1,-5.99,68,75,1.54,GL,1702011264
34,laguna,38.421,-121.4238,9.49,92,0,2.06,US,1702011264
35,qaqortoq,60.7167,-46.0333,1.32,64,100,7.7,GL,1702011264
